Name,Review count,Category,Rating,Price,Latitude,Longitude,Review,Rating binary,Neighborhood
El Farolito,5275,Mexican,4.0,$,37.75265,-122.41812,"[""I came with friends for lunch around 2pm and it wasn't busy. Parking is super tough around the area and metered. We got to order immediately and I got a..."", ""If you're like me and recently moved to SF or are visiting, here's an honest review. This place has great food but is NO frills. Basic seating, chaotic..."", 'My favorite burrito in , make sure to get the pork! Open late night when the crowd is fun, drunk and rowdy. \n\nAs delicious as these burritos might be, be...']",4.0,Mission
Foreign Cinema,5242,Breakfast & Brunch,4.0,$$$,37.75637,-122.41925,"['What a fun venue for dinner, great company with wonderful food and drinks.    Took the chance on the lavender pork this evening and it was absolutely...', 'Nice place but OK food..Not worth the money.\n\nAlso they confirmed my reservation over the phone and I did ask for a table outside, after reaching there,...', 'Came here on a Monday evening with 7 people for a birthday dinner. \n\nThe ambience is incredible. Absolutely stunning decor and lighting and seating. There...']",4.0,Mission
Kokkari Estiatorio,4942,Greek,4.5,$$$,37.796996,-122.399661,"['Love love love! Best lamb in the city. Great bar and service. Make your reservations well in advance as they fill up quickly.', 'Came here on a Thursday night for dinner and the place was packed. I strongly suggest making reservations if you plan on coming here.\n\nWe got the lamb chops...', 'Visited Kokkari Estiatorio will a group of colleagues for lunch. We had reservations ahead of time so being seated was very easy. I arrived a few minutes...']",4.5,Northern Waterfront
Zazie,4932,Breakfast & Brunch,4.0,$$,37.765244,-122.4500965,"[""The food was great - I'm  just not sure it was worth the wait in the end.\n\nThe waiting system was transparent and efficient though! It was entirely our..."", 'I think I had really high expectations before going so it fell a little flat for me. The food was okay and ambiance was nice but I left feeling a bit...', 'Fantastic spot for brunch in SF, highly recommend the cappuccino!  Heads up there is always a wait so make sure to get on the list earlier than later.']",4.0,Cole Valley
Sotto Mare,4621,Seafood,4.5,$$,37.79979,-122.40834,"['The food was delicious here! There was about a 45 min wait for two when we came in a Friday night, and they gave us a pager that would let us know when our...', 'Excellent !\nThe best Italian food I ever had... Yum ! I mean it I never had Italian food that good pasta was done perfect sauce marinara is the best ever...', 'Absolutely the best place to meet friends to have the best Italian seafood in San Francisco. Sotto Mare serves old-school Italian seafood in an old-school...']",4.5,North Beach
Sweet Maple,4429,American (Traditional),4.5,$$,37.785735681426,-122.43507770852,"['Wonderful establishment......fantastic food and terrific staff.....thank you SM............', 'My wife was looking for a great place for brunch and Sweet Maple had some great reviews on Yelp. \n\nThe Yelpers were spot on!\n\nWe were a little worried about...', 'Came here on a Saturday for a solo brunch and lovedddd it! \n\nThere was a pretty long line wrapping around the corner but since I was alone I got to skip the...']",4.5,Lower Pacific Heights
Wayfare Tavern,4284,American (Traditional),4.0,$$$,37.794169,-122.402359,"[""Do believe the hype!\n\nThe service is so, so... but it's all about the popovers, chicken n waffle, and the cocktails!"", 'I stopped in for dinner and drinks with my colleague and it did not disappoint. Good food, good drinks, and great service. \n\nWe both had a Precita for...', ""What hasn't been said already about this remarkable gem of a restaurant? \nI reserved a table  here specifically for the Tomahawk Ribeye for our anniversary...""]",4.0,Financial District
Scoma's Restaurant,4246,Seafood,4.0,$$$,37.808952,-122.418487,"['Do I have enough words? Add this place to one of the few that we are willing to return to.  We love food.  We love food in SF - but with so  many wonderful...', ""We were recommended this place by our front desk agent at the Marriott Marquis in SF and I'm glad we came here! \n\nFirst, the service was amazing. She was so..."", 'I have enjoyed Scoma for years. I have never been disappointed, food has always been fresh and perfectly prepared. My recent visit my wife and I ordered...']",4.0,
La Mar Cebichería Peruana,4209,Latin American,4.0,$$$,37.7974182368553,-122.395129846558,"['Definitely a great place to eat seafood, enjoy views and get drinks. \n\nThis is a great family friendly place to celebrate any special occasion. The drinks...', 'Great location, great decor, great atmosphere and great cocktails. \nI would have gone for five stars, but the food was too much of a mixed bag. And to make...', ""This place is absolutely gorgeous. Recommend sitting outdoors because it's literally by the water. The food overall is decent but nothing too spectacular....""]",4.0,Northern Waterfront
Boudin,4161,Bakeries,4.0,$$,37.808507,-122.4149047308367,,4.0,
Marufuku Ramen,4122,Ramen,4.5,$$,37.78511637816802,-122.4320083486284,"['Long long overdue review, but I loved this place. The line was literally booty, so me and my friends went half an hour before opening, and sat by a nearby...', ""The food was amazing! I got the marufuku bites and the hakata tonkatsu, they were so good! The broth was the best I've ever had, highly recommend!"", 'Located inside a shopping mall, this is a perfect lunch spot. Come early and put your name down on the list and walk around the mall area to get some...']",4.5,
Golden Boy Pizza,4055,Pizza,4.5,$,37.7997956,-122.4080729,"['I can here with my girlfriend after another friend who lives in the city suggested Golden Boy! It was weekday and midday so not much of a line maybe three...', 'I live in the hood, but usually get my pizza from other establishments. So this was my first time trying Golden Boy. I ordered a slice of the veggie pesto...', ""heard good things about this place so I dropped by!\n\nit's considerablt easy to get here by bus, and it's relativity close to the city center!\n\nI ordered the...""]",4.5,
Beretta,4013,Italian,4.0,$$,37.753869,-122.420611,"['Great dinner spot to catch up with friends! I made a reservation for 6 people initially, but it dwindled down to 4 by the time the dinner time came around....', ""Checked out Beretta after it blew up on social media to see what it's all about - definitely deserving of the hype!\n\nThe menu consists of various antipasti,..."", ""I don't know where to start. My friend and I decided to grab pizza for dinner and she recommended this place. I must say I was blown away. Everything was so...""]",4.0,
Kitchen Story,3838,Breakfast & Brunch,4.0,$$,37.7642907777954,-122.43072410226956,"[""Good food, long wait & always busy. Kinda overhyped but it's a good benchmark for good brunch"", 'We stopped in SF for our anniversary and stopped at this restaurant since we are bacon fanatics!\nI really wanted to try out their bacon platter. \nThis place...', 'Classic brunch spot in SF with great bites. Kitchen Story has classic American brunch favorites with Asian influences.\n\nMenu includes omelets/scrambles,...']",4.0,
Nick's Crispy Tacos,3577,Mexican,4.0,$$,37.79607,-122.42196,"['Taco so yummy \nBartender so sexy \nMust spend ur money \nMmmmmmmmmmm\nMmmmmmmmm\nMmmmmmm.', 'I really like the tacos and the nachos. They had good texture and flavor. But I despise alcohol and I have had better tacos in other places.', ""Hidden club inside Nick's Crispy Tacos! I've been wanting to try this place for awhile. They are super busy on taco Tuesdays!\n\nExperience: On Tuesdays, it's...""]",4.0,
Saigon Sandwich,3553,Vietnamese,4.5,$,37.7831519576568,-122.417318022037,"['Hey all you need to know is they be making some of the most sensational high quality meats n cheeses and bread aVailAble in the city!!!!', ""My go-to for Banh-mi in SF!! Truly delicious & at a GREAAAAT price of $5/sandwich! Such a great deal in terms of price and quality. It's cash-only, so  make..."", 'Seems pretty overhyped to me. Got a couple of specials and it was terribly portioned. Hella meat on one side and all the veggies on the other so each bite...']",4.5,
Waterbar,3526,Seafood,3.5,$$$,37.7904941686413,-122.389039464859,"['During my SF days, so much of my time was spent near or around Waterbar, that I am amazed that it took me this long to dine here. Perhaps, it was most of my...', 'This was my first time at Waterbar and it was a 5/5 experience! We had a reservation for 3 on a beautiful (!) Saturday afternoon, and even seated indoors we...', ""Honestly from the start got attitude from either the business manager or whoever is in charge of managing the inside of the restaurant. I've been here...""]",3.5,
Waterbar,3526,Seafood,3.5,$$$,37.7904941686413,-122.389039464859,"['During my SF days, so much of my time was spent near or around Waterbar, that I am amazed that it took me this long to dine here. Perhaps, it was most of my...', 'This was my first time at Waterbar and it was a 5/5 experience! We had a reservation for 3 on a beautiful (!) Saturday afternoon, and even seated indoors we...', ""Honestly from the start got attitude from either the business manager or whoever is in charge of managing the inside of the restaurant. I've been here...""]",3.5,
Gracias Madre,3519,Mexican,4.0,$$,37.761566,-122.419099,"[""Dined at the trendiest vegan restaurant in the Mission District in SF! I've been here many times and I've been meaning to leave a review. \n\nI loved this..."", '1. This is a vegan restaurant\n2. I wanted to rate it with 5 stars \n3. Wet burrito I ordered was honestly one of the worst burritos I had in San Francisco -...', ""We love this place. We have been several times and been full and happy each time. The atmostphere is lively and friendly. We've had the Tacos, Tamal,...""]",4.0,
Limón,3442,Peruvian,4.0,$$,37.7570514,-122.416461,"['Made a reservation for 4 people on a Sunday at 7:30pm. The inside of this restaurant was extremely hot (due to the recent heat wave), so we were able to ask...', ""My bf would kill me if he knew I gave this place 4 stars instead of 5 so I went with 5 but my experience wasn't *perfect*\n\nSo I have been here twice now and..."", ""Came here for dinner on a Tuesday night. Made a reservation for two but was not necessary. Inside didn't have AC during the SF heat wave, but outside was...""]",4.0,
Farmhouse Kitchen Thai Cuisine,3388,Thai,4.0,$$,37.7601928839328,-122.4114188698492,"['Food was good, good portiond, service was good as well.\nHowever, way too expensive.\nHow can this be rated 2x$ signs on Yelp? I have no idea', 'The food is excellent. The service needs improvement. Servers were rushing us through appetizers, drinks, dinner, and dessert. For an upscale restaurant,...', 'Atmosphere: 5/5\nFood: 4.5/5\nDrinks: 5/5\nService: 5/5\n\nI had such a great time here catching up with a friend. The whole place is decked out in flowers so...']",4.0,
Cha Cha Cha,3376,Caribbean,4.0,$$,37.7691434,-122.4520399,"['Laura was so attentive and patient with our large group of 13! She continuously checked up on us and was so quick to respond to any question or concern we...', 'Out to lunch with the pre-teens today enjoying an unexpected school holiday.  We were vintage clothes shopping on The Haight and had to come to eat here.  I...', 'Great lunch spot for Cuban food. We had the flavorful Ropa Vieja and the roasted pork. Both had a ton of flavor. \n\nService was good and prices ok for San...']",4.0,
Suppenküche,3272,German,4.0,$$,37.7762603759766,-122.426391601562,"['Everything we had was so good. Ive been always wanting to dine in here and few years ago when we tried, there was a long wait so it was impossible. Not sure...', ""I was craving milanesa (schnitzel). I ordered from here but this is the first time I went there.\n\nDidn't make a reservation. \nAfter 10min in line, we could..."", 'Suppenkuche is a German restaurant located in Hayes valley. I came to suppenkuche with my team as a part of our team offsite. We were seated all together on...']",4.0,
Ryoko's,3250,Sushi Bars,4.0,$$,37.7881987776243,-122.412059158087,"[""It's a small dive-bar feeling sushi place w/ a security guard out front. We stopped by on a weekday for dinner and there were no wait. The service was good..."", 'I was very fortunate to take time off from work this week and come visit my friends & family in California. My friend, her boyfriend, and I decided to get a...', ""I hate the fact that I feel the need to do this, but this place doesn't deserve me (or you) as a customer. \n\nhere's why: \n1. It's overpriced, especially for...""]",4.0,
Ryoko's,3250,Sushi Bars,4.0,$$,37.7881987776243,-122.412059158087,"[""It's a small dive-bar feeling sushi place w/ a security guard out front. We stopped by on a weekday for dinner and there were no wait. The service was good..."", 'I was very fortunate to take time off from work this week and come visit my friends & family in California. My friend, her boyfriend, and I decided to get a...', ""I hate the fact that I feel the need to do this, but this place doesn't deserve me (or you) as a customer. \n\nhere's why: \n1. It's overpriced, especially for...""]",4.0,
The Codmother Fish & Chips,3226,British,4.5,$$,37.8072702557489,-122.417093771758,"['I absolutely love coming here whenever I am in San Francisco! Every time I visit, I end up getting something from here.\n\nMy go-to item like others is the...', ""Went downhill just like this tourist area.\n\nFirst off, they are sooo heavy handed with the battery it's not even funny.\n\nThe 3 fish meals with drinks was..."", ""A food truck located a few blocks from Fisherman's Wharf and perfect for lunch.  \n\nI came here and ordered the Combo which comes with 2 big fish strips, 4...""]",4.5,
Good Mong Kok Bakery,3187,Bakeries,4.0,$,37.7954584839809,-122.408358365012,"['I read a lot of mixed reviews on here and the bad ones mostly discussed poor quality and old restaurant. This is an AFFORDABLE and DECENTLY GOOD place for...', 'Generous portion for an amazing price! We went on a Saturday around noon, and the line was pretty. But it moved relatively fast. This place has no tables or...', ""With so many choices in Chinatown, you can get lost in making a decision on where to go to get some good eats. Thankfully I'm a slave to yelp and followed...""]",4.0,
Beach Chalet Brewery and Restaurant,3157,Breweries,3.0,$$,37.769471115758,-122.51024866375,"['Absolutely baffled by the reviews of this restaurant! After a day in the City we decided to escape the Fleet Week crowds and try this place - we expected a...', ""Hi GarT,\n\nWhether it's your most popular dish is irrelevant and does  not address my concern. You advertise braised, not brined, beef however your menu..."", 'I have good memories of events and dining at beach chalet, however, the lunch meal I had a week ago in September was terrible.  This was disappointing...']",3.0,
The Front Porch,3100,Southern,4.0,$$,37.7438,-122.422035,"[""The food is good. The staff is friendly. \n\nThe slushy wasn't available the first two times I visited. But it was nice and boozy on my third visit."", 'I was really excited when I saw the menu and vegan options. I made a reservation for 11:30am on a Saturday morning. There were more people after 12pm and...', ""Drinks:\nSlushee of the day - passion fruit daiquiri\nN/A Slushee - lemon basil\nOrdered the n/a slushee. It's light, refreshing, not too sweet, not too basil,...""]",4.0,
Swan Oyster Depot,3096,Seafood,4.0,$$,37.79093981867232,-122.42091112637075,"['What a great slice of San Francisco this place is! From every person on staff, the great ambiance and of course the out of this world seafood, l would put a...', ""Food: Everything is fresh and on par with many of the other great restaurants of it's type in the area.\n\nService: My issue was with this aspect..."", 'Although the fish was very fresh the preparations were bland and boring. \n\nThe line to wait for this place is all hype and a tourist trap. Plenty of other...']",4.0,
Little Star Pizza - Divisadero ,3026,Pizza,4.5,$$,37.77753,-122.43798,"['Solid combo recommendation:\n\nFeta, roasted garlic,basil,sun-dried tomato\n\nTried this with thin crust and it was pretty good', ""Been meaning to try the place and finally had a chance to check things out. Popped in just as they opened with some friends and the place certainly didn't..."", ""As someone who just moved from Chicago, I approve!! Hot take- their deep dish is better than the Chicago staples like Pequods and Lou Malnati's. The...""]",4.5,
State Bird Provisions,2994,Tapas/Small Plates,4.0,$$$,37.78374,-122.433005,"['Great food and friendly staff! Expectedly great food with interesting combinations and preparations. We sampled a bunch of items from their menu and...', 'So after wanting to try State Bird Provisions for about 10 years, we finally managed to get reservations on a Monday at 5:30pm, right at opening. We managed...', 'The dim sum service is a really great experience! The egg tofu dish was so incredible we had to order a second! You can just grab items from the dim sum...']",4.0,
Plow,2938,Breakfast & Brunch,4.0,$$,37.762537673684,-122.39535099572,"['This was a great breakfast spot.  Nice open atmosphere and outdoor seating is available.  Not as big as I thought but plenty of room for us and not a long...', 'we came at 1pm and their last call is 2pm. she said the wait could be 1-2 hours but to come back for last call before 2pm. since we were a party of two, we...', ""Delicious brunch. I loved the lemon ricotta pancakes and the rosemary potatoes. A little on the pricey side for what it was but, hey, it's San...""]",4.0,
The Buena Vista,2909,Bars,4.0,$$,37.80656252938168,-122.42068600840392,"[""I ordered the crabcake Benedict and it did not disappoint. Honestly one of the best breakfasts is I've had in a while. Our waitress was amazing, drinks were..."", 'The Buena Vista popped on to our radar years ago when we drove by the (rumored to be very haunted!) Hotel Argonaut across the street.  We were in the City...', ""Buena vista is always poppin off! It's a classic SF staple and for good reason.\n\nThey are famous for their Irish Coffee's! Their Irish Coffee's are strong...""]",4.0,
Surisan,2877,Korean,4.5,$$,37.80678,-122.41756,"['Everything was amazing! The servers were welcoming and kind!!! I highly recommend this place', 'Whole ambiance and food was a vibe. Great and easy service and I like how the food was presented on the plates along with the fact that they taste...', 'Bro, this is a nice spot. The fried chicken is fire  I will definitely drive back to the city for this! I was super disappointed in the loco moco. I wanted...']",4.5,
Chapeau,2845,French,4.5,$$$,37.78327,-122.46066,"['Loved this restaurant! Excellent service! \n\nYou definitely need to try it! Every course was so worth it, our favorites the onion soup, the filet mignon and...', ""One of the best places in SF!\n3 course meal\nMenu changes so it's tough to make\nrecommendations but it's a great spot!"", 'Such a gem!\nWe went for our anniversary and had a wonderful evening. The Chef was around greeting people. I love that. They bring a plate with a candle and...']",4.5,
Crab House at Pier 39,2771,Seafood,4.0,$$$,37.809437,-122.410365343094,"['Shawn did a great job. Got surf and turf. Real tasty. Nice view of bay.', 'I took my fiancée here as it was her first time in San Francisco. Needless to say, this place exceeded our expectation. Upon arrival we were greeted by an...', 'Was in the Bay Area on a small vacation and was informed by another Yelper that Pier 39 Crab house was the place to go if I wanted to experience the perfect...']",4.0,
Fish Restaurant,2769,Seafood,4.0,$$,37.8682093231997,-122.49782684190237,"['Thanks to my amazing Yelp friends, Fish restaurant was a really good find! Easy parking, super friendly staff, amazing views and fresh seafood.\nYou order at...', 'Stumbled upon this place after a visit to Muir Woods. We arrived right at 11 and the line was already past the gate!\n\nWe ordered the crab louie and fish and...', 'This is a casual fish place along the marina with picnic table type seating.  Asking people if you can join their table adds to the ambiance.  You order in...']",4.0,
Marlowe,2762,Diners,4.0,$$$,37.77828,-122.39686,"[""I finally tried this place for the first time while I was in SF this weekend since I'd been hearing such good things about it from a friend. I'm so glad I..."", ""I've always walked past Marlowe but never visited until this past weekend and I'm so glad I did! Marlowe resembles restaurant bars in nyc - small and..."", ""We used to live in SOMA in 2011 so it was nice being back in the ol' neighborhood for lunch.\n\nWe've been to their previous location on Townsend a bunch of...""]",4.0,
Pier Market Seafood Restaurant,2699,Seafood,4.0,$$,37.8099386456994,-122.4105736883433,"['Food was great came here last night and everything seemed busy and we got sat down pretty quickly and we were attend to by Kevin he was great he managed to...', 'Service is great but foot is no good. Everything I ordered was a bit tasteless. Will not come back. Tourist trap.', ""I used to work at the Visitor's Center upstairs at Pier 39. Go there first and get a coupon for this spot. Their clam chowder is still the best on the...""]",4.0,
Mensho Tokyo SF,2618,Ramen,4.0,$$,37.78686,-122.41439,"[""I've been dying to try this place for ages and was really worried it would not live up to the hype, but this place definitely deserves five stars. I..."", ""Garlic Knock Out (): An experience for the first sip! The broth is definitely more unique than other tori paitan broths I've had. It's very rich, complex,..."", ""Worth the hour wait? Maybeeeee it was very good ramen but my expectations get higher and higher the longer the wait. Butttt I'm a sucker for creamy ramen...""]",4.0,
HRD,2536,Asian Fusion,4.0,$$,37.7811065758548,-122.395329724426,"['Delicious burritos! Had the Spicy Pork and the Bulgogi. Loved both but the Bulgogi Burrito won the day. \n\nJuicy flavorful meat, kimchi was good but not...', 'This place is solid for Asian fusion food! They have Asian inspired proteins including panko-crusted shrimp, wild cod katsu, tuna poke, and bulgogi beef....', 'We to HRD for a quick lunch, after looking at the different reviews and getting excited for a unique burrito! Once there you basically order and get a...']",4.0,
El Techo,2496,Latin American,4.0,$$,37.75661,-122.41927,"['Came during a Wednesday HH and was seated right away. LOVE the views here- able to enjoy decent priced food and drinks while watching the sun set. \n\nReally...', 'Cons- Poor service, demeaning attitudes, overpriced, bland food, watery margaritas\n\nPros-  Rooftop dining, cold ice-water', ""Beautiful views and yummy food and drinks! I wish i knew about it sooner!\n\nWe came right when happy hour was ending unfortunately, but the prices don't seem...""]",4.0,
Woodhouse Fish Company,2475,Seafood,4.0,$$,37.78742,-122.43327,"[""TL;DR - small and cute spot, great for date night and they have oyster Tuesday's \n\nThis place is adorable. I love the counter seats too. It's a small place..."", 'Super cute restaurant in the heart of the trendy Fillmore District in lower Pac Heights. \n\nWe sat in their outdoor open parklet for lunch on a sunny Tuesday...', 'Words cannot express how delicious and good it is.  Just give a shot! Then you will understand what I mean. \nChunk lobster chilled in Mayo and celery.....']",4.0,
Dumpling Time,2468,Dim Sum,4.0,$$,37.7697533,-122.4022546,"['My goodness! Talk about some tasty food!\n\nMy friend wanted to take us to this establishment in the city on a Friday afternoon. The location is in a corner...', 'Very okay dumpling place.\n\nWe came around 12:45 on a Sunday and were immediately seated outside. I liked the energy and ambiance of the place, pretty casual...', 'Came here during a company retreat as we were all hungry for some dumplings and decided on trying out Dumpling Time. \n\nOverall, the food was good. They have...']",4.0,
Hillstone,2401,American (New),4.0,$$$,37.805712595582,-122.405280545354,"['The Stephanie Herman Show was here last night to review and enjoy. I went to Hillstone restaurant last Saturday and was not happy with the attitude of my...', ""Hillstone's has a feel of a warm, Art Deco & classic San Francisco restaurant. We had wonderful service. We started off with two nice glasses of wine & the..."", ""Well, the last time I came here, the Warriors still hadn't won an NBA championship in forty years.  Yes, amazing how much has changed since that...""]",4.0,
Loló,2388,Mexican,4.0,$$,37.7573462,-122.4214034,"['This has been out for to restaurant for years. Never disappoints. Shrimp tacos are to die for', 'Was popping on a Wednesday night! Our group of 4 were told we had a 45 minute wait but it ended up only being 10 minutes. \n\nThe inside was very quaintly...', ""What's a great way to wrap up a long week? Good food at a fun restaurant.\n\nParking - Normally, I would say parking around the area is pretty difficult. On a...""]",4.0,
Coqueta,2368,Spanish,4.0,$$$,37.798588,-122.396639,"['This place is absolutely amazing!!! The gin and tonic was incredible the tapas absolutely insane 10/10 must get ever tapa you cant go wrong. My new fave...', 'We come here every year for our anniversary. 4th visit and we FINALLY tried the tomahawk ribeye. \n\nThat was, possibly, the greatest steak I have ever eaten....', 'Spanish Tapas, Waterfront location (no view, except in the bar area), great location, great vibes, stellar food. \n\nWe had friends visiting from out of town...']",4.0,
Outerlands,2340,Breakfast & Brunch,4.0,$$,37.76025390625,-122.505020141602,"['the pork belly made my belly feel great!!\n\nthe dessert ... phenomenal !\n\nI want to work there so I can eat there more often...', ""Please change the set up of how you check in people. It's very disorganized. My friends and I came here yesterday around 11am. The guy at the front told us..."", 'Love this place!!!!\nNice ambience\nWe went there around 1pm on a Saturday, they told us that they ran out of the Dutch pancake, so we got their French toast...']",4.0,
Chez Maman East,2289,French,4.5,$$,37.762463,-122.396712,"['Came here on a lovely Friday evening. No reservations, first come first serve. But we were flexible with our seating so we were open to bar seating for...', 'Came here for a Sunday brunch for a date and had no wait time at 11 am on a Sunday which is super good for 18th street restaurants! \n\nGood:\n - French onion...', 'Super cute French bistro in Potrero. A great stop for a glass of wine and a delicious light lunch/dinner or a full on hearty meal. My friend and I enjoyed...']",4.5,
The Monk's Kettle,2289,Bars,4.0,$$,37.7647290879634,-122.42297490884,"['One of my favorite tap rooms in SF! I ended up coming here twice. Once on a Wednesday at 2pm and once on a Saturday at 4:45pm. Both were different due to...', 'This place used to be so good. Hot pretzel knot and a conversation over a La Fin Du Monde. I used to come here so often that the server gave me a discount....', 'Lamb burger was sooo dry.\n\nMonks burger was sooo mediocre. \n\nCrispy wings such a rip off with barely any flavor or crunch.\n\nI have no idea why this spot has...']",4.0,
Greens Restaurant,2288,Vegetarian,4.0,$$$,37.80668033302732,-122.43210032743212,"['One of favorite Vegetarian restaurants.  Food is great, well prepared.\n\nDining experience was definitely degraded by not partaking in the amazing view...', 'Greens was absolutely delicious, the waiter was very thoughtful, and the sunset view was amazing! \n\nCame here for my birthday dinner with a group of 5. We...', ""Couples date at Greens and we were a little late because we didn't realize how difficult parking would be here. That was our bad, of course it's SF. Lol....""]",4.0,
The Bird,2228,Chicken Shop,4.0,$$,37.78724,-122.39995,"['This was the perfect pit stop while checking out SFMOMA (my friend and I worked up quite the appetites using extra brainpower on our art analyses in there...', 'Came during weekday dinner (no line, some folks eating inside, plenty of empty tables outside). Pre-pandemic this spot always had a line down block during...', 'Tried out their fried chicken sandwich, which was decent. Enough seating inside as well.\n\nThis location was a bit hard to find...because it did not have any...']",4.0,
Lolinda,2197,Steakhouses,4.0,$$$,37.7566658,-122.419116,"['Hands down best place for food, drinks and ambience. I am obsessed with the cheese bread. We literally tried half of the menu and everything is delicious,...', 'Lolinda is amazing. Made a reservation and came on  Saturday night. The ambience is nice inside but it can get loud. \n\nWe got three things: the ceviche...', ""I came here on a Thursday around 7 PM and sat at the community table with some friends. I've always wanted to go in here because I've heard wonderful things...""]",4.0,
Marugame Udon,2196,Japanese,4.0,$$,37.727494,-122.476531,"['If you want it good and fast, this is the place.  The broth is tasty, the meat was savory and the udon was on point.  Quick, tasty and worth the...', 'Absolutely phenomenal noodles and tempura. The tonkatsu has amazing flavors and the udon is freshly made. The entire place is cafeteria styled and has a...', 'Came to this particular branch for the second time (first time was over 5 years ago) and they never disappoint me. This time I ordered Kitsune udon with...']",4.0,
